Name,Spaceship,Alive
Kisi0,A19,False
Kisi1,A19,False
Kisi2,A19,False
Kisi3,A19,False
Kisi4,A19,False
Kisi5,A19,False
Kisi6,A19,False
Kisi7,A19,False
Kisi8,A19,False
Kisi9,A19,False
Kisi10,B19,False
Kisi11,B19,False
Kisi12,B19,False
Kisi13,B19,False
Kisi14,B19,False
Kisi15,B19,False
Kisi16,B19,False
Kisi17,B19,False
Kisi18,B19,False
Kisi19,B19,False
Kisi20,A26,False
Kisi21,A26,False
Kisi22,A26,False
Kisi23,A26,False
Kisi24,A26,False
Kisi25,A26,False
Kisi26,A26,False
Kisi27,A26,False
Kisi28,A26,False
Kisi29,A26,False
Kisi30,B9,False
Kisi31,B9,False
Kisi32,B9,False
Kisi33,B9,False
Kisi34,B9,False
Kisi35,B9,False
Kisi36,B9,False
Kisi37,B9,False
Kisi38,B9,False
Kisi39,B9,False
Kisi40,B17,False
Kisi41,B17,False
Kisi42,B17,False
Kisi43,B17,False
Kisi44,B17,False
Kisi45,B17,False
Kisi46,B17,False
Kisi47,B17,False
Kisi48,B17,False
Kisi49,B17,False
Kisi50,B3,False
Kisi51,B3,False
Kisi52,B3,False
Kisi53,B3,False
Kisi54,B3,False
Kisi55,B3,False
Kisi56,B3,False
Kisi57,B3,False
Kisi58,B3,False
Kisi59,B3,False
Kisi60,B11,False
Kisi61,B11,False
Kisi62,B11,False
Kisi63,B11,False
Kisi64,B11,False
Kisi65,B11,False
Kisi66,B11,False
Kisi67,B11,False
Kisi68,B11,False
Kisi69,B11,False
Kisi70,B21,False
Kisi71,B21,False
Kisi72,B21,False
Kisi73,B21,False
Kisi74,B21,False
Kisi75,B21,False
Kisi76,B21,False
Kisi77,B21,False
Kisi78,B21,False
Kisi79,B21,False
Kisi80,A17,False
Kisi81,A17,False
Kisi82,A17,False
Kisi83,A17,False
Kisi84,A17,False
Kisi85,A17,False
Kisi86,A17,False
Kisi87,A17,False
Kisi88,A17,False
Kisi89,A17,False
Kisi90,B5,False
Kisi91,B5,False
Kisi92,B5,False
Kisi93,B5,False
Kisi94,B5,False
Kisi95,B5,False
Kisi96,B5,False
Kisi97,B5,False
Kisi98,B5,False
Kisi99,B5,False
Kisi100,A10,False
Kisi101,A10,False
Kisi102,A10,False
Kisi103,A10,False
Kisi104,A10,False
Kisi105,A10,False
Kisi106,A10,False
Kisi107,A10,False
Kisi108,A10,False
Kisi109,A10,False
Kisi110,B7,False
Kisi111,B7,False
Kisi112,B7,False
Kisi113,B7,False
Kisi114,B7,False
Kisi115,B7,False
Kisi116,B7,False
Kisi117,B7,False
Kisi118,B7,False
Kisi119,B7,False
Kisi120,B6,False
Kisi121,B6,False
Kisi122,B6,False
Kisi123,B6,False
Kisi124,B6,False
Kisi125,B6,False
Kisi126,B6,False
Kisi127,B6,False
Kisi128,B6,False
Kisi129,B6,False
Kisi130,A18,False
Kisi131,A18,False
Kisi132,A18,False
Kisi133,A18,False
Kisi134,A18,False
Kisi135,A18,False
Kisi136,A18,False
Kisi137,A18,False
Kisi138,A18,False
Kisi139,A18,False
Kisi140,B14,False
Kisi141,B14,False
Kisi142,B14,False
Kisi143,B14,False
Kisi144,B14,False
Kisi145,B14,False
Kisi146,B14,False
Kisi147,B14,False
Kisi148,B14,False
Kisi149,B14,False
Kisi150,A11,False
Kisi151,A11,False
Kisi152,A11,False
Kisi153,A11,False
Kisi154,A11,False
Kisi155,A11,False
Kisi156,A11,False
Kisi157,A11,False
Kisi158,A11,False
Kisi159,A11,False
Kisi160,B10,False
Kisi161,B10,False
Kisi162,B10,False
Kisi163,B10,False
Kisi164,B10,False
Kisi165,B10,False
Kisi166,B10,False
Kisi167,B10,False
Kisi168,B10,False
Kisi169,B10,False
Kisi170,A1,False
Kisi171,A1,False
Kisi172,A1,False
Kisi173,A1,False
Kisi174,A1,False
Kisi175,A1,False
Kisi176,A1,False
Kisi177,A1,False
Kisi178,A1,False
Kisi179,A1,False
Kisi180,A3,False
Kisi181,A3,False
Kisi182,A3,False
Kisi183,A3,False
Kisi184,A3,False
Kisi185,A3,False
Kisi186,A3,False
Kisi187,A3,False
Kisi188,A3,False
Kisi189,A3,False
Kisi190,A6,False
Kisi191,A6,False
Kisi192,A6,False
Kisi193,A6,False
Kisi194,A6,False
Kisi195,A6,False
Kisi196,A6,False
Kisi197,A6,False
Kisi198,A6,False
Kisi199,A6,False
Kisi200,A2,False
Kisi201,A2,False
Kisi202,A2,False
Kisi203,A2,False
Kisi204,A2,False
Kisi205,A2,False
Kisi206,A2,False
Kisi207,A2,False
Kisi208,A2,False
Kisi209,A2,False
Kisi210,A24,False
Kisi211,A24,False
Kisi212,A24,False
Kisi213,A24,False
Kisi214,A24,False
Kisi215,A24,False
Kisi216,A24,False
Kisi217,A24,False
Kisi218,A24,False
Kisi219,A24,False
Kisi220,B1,False
Kisi221,B1,False
Kisi222,B1,False
Kisi223,B1,False
Kisi224,B1,False
Kisi225,B1,False
Kisi226,B1,False
Kisi227,B1,False
Kisi228,B1,False
Kisi229,B1,False
Kisi230,A13,False
Kisi231,A13,False
Kisi232,A13,False
Kisi233,A13,False
Kisi234,A13,False
Kisi235,A13,False
Kisi236,A13,False
Kisi237,A13,False
Kisi238,A13,False
Kisi239,A13,False
Kisi240,A14,False
Kisi241,A14,False
Kisi242,A14,False
Kisi243,A14,False
Kisi244,A14,False
Kisi245,A14,False
Kisi246,A14,False
Kisi247,A14,False
Kisi248,A14,False
Kisi249,A14,False
Kisi250,A23,False
Kisi251,A23,False
Kisi252,A23,False
Kisi253,A23,False
Kisi254,A23,False
Kisi255,A23,False
Kisi256,A23,False
Kisi257,A23,False
Kisi258,A23,False
Kisi259,A23,False
Kisi260,B22,False
Kisi261,B22,False
Kisi262,B22,False
Kisi263,B22,False
Kisi264,B22,False
Kisi265,B22,False
Kisi266,B22,False
Kisi267,B22,False
Kisi268,B22,False
Kisi269,B22,False
Kisi270,B13,False
Kisi271,B13,False
Kisi272,B13,False
Kisi273,B13,False
Kisi274,B13,False
Kisi275,B13,False
Kisi276,B13,False
Kisi277,B13,False
Kisi278,B13,False
Kisi279,B13,False
Kisi280,A20,False
Kisi281,A20,False
Kisi282,A20,False
Kisi283,A20,False
Kisi284,A20,False
Kisi285,A20,False
Kisi286,A20,False
Kisi287,A20,False
Kisi288,A20,False
Kisi289,A20,False
Kisi290,A22,False
Kisi291,A22,False
Kisi292,A22,False
Kisi293,A22,False
Kisi294,A22,False
Kisi295,A22,False
Kisi296,A22,False
Kisi297,A22,False
Kisi298,A22,False
Kisi299,A22,False
Kisi300,B20,False
Kisi301,B20,False
Kisi302,B20,False
Kisi303,B20,False
Kisi304,B20,False
Kisi305,B20,False
Kisi306,B20,False
Kisi307,B20,False
Kisi308,B20,False
Kisi309,B20,False
Kisi310,A5,False
Kisi311,A5,False
Kisi312,A5,False
Kisi313,A5,False
Kisi314,A5,False
Kisi315,A5,False
Kisi316,A5,False
Kisi317,A5,False
Kisi318,A5,False
Kisi319,A5,False
Kisi320,A16,False
Kisi321,A16,False
Kisi322,A16,False
Kisi323,A16,False
Kisi324,A16,False
Kisi325,A16,False
Kisi326,A16,False
Kisi327,A16,False
Kisi328,A16,False
Kisi329,A16,False
Kisi330,A12,False
Kisi331,A12,False
Kisi332,A12,False
Kisi333,A12,False
Kisi334,A12,False
Kisi335,A12,False
Kisi336,A12,False
Kisi337,A12,False
Kisi338,A12,False
Kisi339,A12,False
Kisi340,B15,False
Kisi341,B15,False
Kisi342,B15,False
Kisi343,B15,False
Kisi344,B15,False
Kisi345,B15,False
Kisi346,B15,False
Kisi347,B15,False
Kisi348,B15,False
Kisi349,B15,False
Kisi350,B18,False
Kisi351,B18,False
Kisi352,B18,False
Kisi353,B18,False
Kisi354,B18,False
Kisi355,B18,False
Kisi356,B18,False
Kisi357,B18,False
Kisi358,B18,False
Kisi359,B18,False
Kisi360,A25,False
Kisi361,A25,False
Kisi362,A25,False
Kisi363,A25,False
Kisi364,A25,False
Kisi365,A25,False
Kisi366,A25,False
Kisi367,A25,False
Kisi368,A25,False
Kisi369,A25,False
Kisi370,B12,False
Kisi371,B12,False
Kisi372,B12,False
Kisi373,B12,False
Kisi374,B12,False
Kisi375,B12,False
Kisi376,B12,False
Kisi377,B12,False
Kisi378,B12,False
Kisi379,B12,False
Kisi380,B23,False
Kisi381,B23,False
Kisi382,B23,False
Kisi383,B23,False
Kisi384,B23,False
Kisi385,B23,False
Kisi386,B23,False
Kisi387,B23,False
Kisi388,B23,False
Kisi389,B23,False
Kisi390,A15,False
Kisi391,A15,False
Kisi392,A15,False
Kisi393,A15,False
Kisi394,A15,False
Kisi395,A15,False
Kisi396,A15,False
Kisi397,A15,False
Kisi398,A15,False
Kisi399,A15,False
Kisi400,A8,False
Kisi401,A8,False
Kisi402,A8,False
Kisi403,A8,False
Kisi404,A8,False
Kisi405,A8,False
Kisi406,A8,False
Kisi407,A8,False
Kisi408,A8,False
Kisi409,A8,False
Kisi410,B2,False
Kisi411,B2,False
Kisi412,B2,False
Kisi413,B2,False
Kisi414,B2,False
Kisi415,B2,False
Kisi416,B2,False
Kisi417,B2,False
Kisi418,B2,False
Kisi419,B2,False
Kisi420,B4,False
Kisi421,B4,False
Kisi422,B4,False
Kisi423,B4,False
Kisi424,B4,False
Kisi425,B4,False
Kisi426,B4,False
Kisi427,B4,False
Kisi428,B4,False
Kisi429,B4,False
Kisi430,A9,False
Kisi431,A9,False
Kisi432,A9,False
Kisi433,A9,False
Kisi434,A9,False
Kisi435,A9,False
Kisi436,A9,False
Kisi437,A9,False
Kisi438,A9,False
Kisi439,A9,False
Kisi440,B16,False
Kisi441,B16,False
Kisi442,B16,False
Kisi443,B16,False
Kisi444,B16,False
Kisi445,B16,False
Kisi446,B16,False
Kisi447,B16,False
Kisi448,B16,False
Kisi449,B16,False
Kisi450,A21,False
Kisi451,A21,False
Kisi452,A21,False
Kisi453,A21,False
Kisi454,A21,False
Kisi455,A21,False
Kisi456,A21,False
Kisi457,A21,False
Kisi458,A21,False
Kisi459,A21,False
Kisi460,B8,False
Kisi461,B8,False
Kisi462,B8,False
Kisi463,B8,False
Kisi464,B8,False
Kisi465,B8,False
Kisi466,B8,False
Kisi467,B8,False
Kisi468,B8,False
Kisi469,B8,False
Kisi470,B24,False
Kisi471,B24,False
Kisi472,B24,False
Kisi473,B24,False
Kisi474,B24,False
Kisi475,B24,False
Kisi476,B24,False
Kisi477,B24,False
Kisi478,B24,False
Kisi479,B24,False
Kisi480,A7,False
Kisi481,A7,False
Kisi482,A7,False
Kisi483,A7,False
Kisi484,A7,False
Kisi485,A7,False
Kisi486,A7,False
Kisi487,A7,False
Kisi488,A7,False
Kisi489,A7,False
Kisi490,A4,False
Kisi491,A4,False
Kisi492,A4,False
Kisi493,A4,False
Kisi494,A4,False
Kisi495,A4,False
Kisi496,A4,False
Kisi497,A4,False
Kisi498,A4,False
Kisi499,A4,False
